,vref27,i_temp27,name,type,time,OK
0,1.195568,3.93302,tran_LayGtKfsTlVtNosweep,Lay,Mon Apr 28 21:34:41 2025,True
1,1.195345,3.7310980000000002,tran_LayGtKsfTlVtNosweep,Lay,Mon Apr 28 21:34:40 2025,True
2,1.198906,4.487195,tran_LayGtKffTlVtNosweep,Lay,Mon Apr 28 21:34:38 2025,True
3,1.191939,3.295668,tran_LayGtKssTlVtNosweep,Lay,Mon Apr 28 21:34:37 2025,True
4,1.195568,3.93302,tran_LayGtKfsThVtNosweep,Lay,Mon Apr 28 21:34:36 2025,True
5,1.195345,3.7310980000000002,tran_LayGtKsfThVtNosweep,Lay,Mon Apr 28 21:34:35 2025,True
6,1.198906,4.487195,tran_LayGtKffThVtNosweep,Lay,Mon Apr 28 21:34:33 2025,True
7,1.191939,3.295668,tran_LayGtKssThVtNosweep,Lay,Mon Apr 28 21:34:32 2025,True
